,Gender,ClassYear,NumEarlyClass,EarlyClass,GPA,ClassesMissed,PoorSleepQuality,Stress,Happiness,WeekdayBed,WeekdayRise,WeekdaySleep,WeekendBed,WeekendRise,WeekendSleep,AverageSleep,AllNighter
28,0,4,2,1,3.4,3,9,normal,27,23.9,7.8,8.0,25.25,10.0,7.0,7.71,0
29,0,4,2,1,3.0,2,6,normal,25,25.0,8.6,8.1,25.5,8.5,5.75,7.43,0
30,0,2,2,1,3.75,0,12,high,25,24.05,8.35,8.55,25.38,9.75,7.75,8.32,0
31,0,1,3,1,4.0,0,5,normal,15,22.9,8.3,9.4,27.25,11.5,8.25,9.07,0
32,0,4,3,1,2.8,0,3,normal,18,23.8,8.1,8.4,25.25,10.75,9.25,8.64,0
33,1,2,0,0,2.35,6,6,normal,21,25.0,10.18,9.18,26.5,11.25,8.75,9.06,0
34,0,2,3,1,3.04,0,7,high,23,26.63,8.63,7.05,25.88,11.13,7.38,7.14,0
35,1,4,0,0,2.75,0,11,normal,27,23.8,7.55,7.75,25.0,8.88,7.88,7.79,0
36,0,1,5,1,3.5,1,6,normal,27,25.8,7.75,6.45,25.5,10.88,8.13,6.93,0
37,0,1,3,1,3.2,0,2,normal,25,24.6,8.67,8.17,26.5,11.5,8.75,8.33,0
38,0,1,3,1,3.25,5,4,normal,30,22.83,9.38,10.48,26.25,9.75,7.67,9.68,0
39,0,4,0,0,2.9,4,12,high,25,25.17,8.92,8.0,25.13,11.25,9.5,8.43,0
40,0,4,0,0,3.84,1,3,normal,30,23.9,8.05,7.95,25.5,8.5,7.5,7.82,0
41,0,4,0,0,3.5,0,5,normal,28,24.4,8.4,8.6,25.0,8.75,6.25,7.93,0
42,1,2,2,1,2.8,1,6,normal,26,25.4,9.37,7.57,27.0,11.0,9.0,7.98,0
43,1,1,2,1,3.25,2,7,normal,31,23.3,8.4,8.8,25.5,10.0,9.25,8.93,0
44,0,1,2,1,2.9,0,8,normal,24,24.9,9.15,8.25,26.5,11.3,9.0,8.46,0
45,1,3,0,0,3.5,2,6,high,24,24.95,8.86,7.97,27.0,11.63,9.13,8.3,0
46,0,4,2,1,3.1,6,5,high,26,23.65,8.4,8.95,25.5,9.75,7.75,8.61,0
47,0,3,2,1,3.2,1,6,normal,28,26.6,8.0,5.9,26.0,10.0,6.75,6.14,0
48,1,1,1,1,3.4,2,8,normal,30,26.8,8.8,6.2,28.5,10.75,5.75,6.07,1
49,1,2,2,1,2.5,0,4,normal,27,25.57,6.67,5.63,23.79,9.42,8.29,6.39,0
50,1,3,2,1,3.25,0,3,normal,31,24.12,8.2,7.87,24.96,10.0,9.59,8.36,0
51,0,3,2,1,3.0,0,9,high,25,25.0,8.55,7.55,26.0,10.0,8.0,7.68,0
52,0,2,3,1,3.2,3,7,normal,30,25.2,9.05,8.23,24.29,9.63,8.38,8.27,0
53,0,4,2,1,3.25,4,9,normal,21,23.2,8.4,8.9,25.25,10.0,9.5,9.07,0
54,0,3,2,1,2.0,1,6,normal,23,25.3,7.55,6.85,26.0,7.88,4.38,6.14,0
55,1,1,1,1,3.4,1,10,normal,28,27.0,8.23,4.79,26.5,10.25,8.25,5.78,1
56,0,2,0,0,3.4,2,11,high,16,25.2,10.37,9.97,27.25,11.5,6.25,8.9,1
57,0,2,5,1,3.3,2,5,high,29,24.5,7.97,7.12,26.38,8.38,6.88,7.05,0
58,0,2,3,1,3.25,0,4,normal,29,25.3,9.2,8.6,24.5,9.75,7.5,8.29,0
59,1,2,1,1,2.5,3,5,normal,21,26.13,9.38,6.0,27.0,10.5,7.0,6.29,1
60,0,2,5,1,3.2,2,5,normal,31,24.4,7.75,7.95,25.0,10.5,8.0,7.96,0
61,0,4,2,1,3.25,1,4,normal,30,23.0,6.72,8.22,24.5,9.75,8.0,8.16,0
62,0,1,4,1,3.32,5,9,normal,25,24.55,8.28,7.73,29.0,11.0,6.0,7.24,1
63,1,4,2,1,3.0,2,12,high,12,26.45,9.03,6.63,26.25,10.75,8.38,7.13,1
64,0,3,3,1,3.67,14,9,normal,32,25.6,8.17,5.87,28.25,9.25,6.75,6.12,0
65,0,4,3,1,3.1,10,3,normal,31,24.1,8.9,8.9,26.0,12.5,10.25,9.29,0
66,0,2,2,1,2.0,1,4,normal,22,23.1,9.13,10.23,24.5,12.0,11.0,10.45,0
67,0,2,4,1,3.2,0,4,normal,30,24.33,7.75,7.52,25.75,11.13,9.13,7.98,0
68,0,2,2,1,3.4,0,3,normal,30,24.2,9.2,8.6,26.0,11.5,10.5,9.14,0
69,0,2,2,1,3.11,4,8,normal,33,23.8,8.53,8.33,25.5,10.0,9.5,8.66,0
70,0,2,0,0,3.4,1,4,normal,33,24.45,8.2,7.65,24.5,8.59,8.34,7.85,0
71,0,3,0,0,2.4,4,4,normal,25,25.75,10.02,8.77,25.5,10.38,7.63,8.44,0
72,0,1,5,1,4.0,0,8,normal,20,24.4,8.17,7.17,26.5,10.75,9.75,7.9,0
73,1,2,3,1,3.35,2,8,high,12,23.0,7.29,8.29,25.13,8.25,7.13,7.96,1
74,0,4,2,1,3.3,1,6,normal,30,24.2,8.52,8.62,25.0,10.75,9.0,8.73,0
75,0,3,2,1,3.3,2,10,high,24,24.4,7.5,7.1,23.5,10.5,11.0,8.21,0
76,1,4,0,0,3.6,1,6,high,29,24.3,7.8,7.7,23.5,9.0,9.0,8.07,0
77,0,2,3,1,3.25,0,4,normal,24,23.7,7.83,8.23,23.75,8.25,8.25,8.24,0
78,0,2,2,1,3.6,3,5,normal,30,25.6,8.43,7.33,26.5,12.0,8.25,7.59,0
79,0,4,0,0,3.3,2,4,normal,25,24.1,9.41,9.41,24.5,8.5,7.75,8.94,0
80,0,2,3,1,3.3,0,7,high,19,24.65,8.8,8.75,26.25,10.25,6.5,8.11,0
81,1,4,2,1,3.0,3,8,normal,28,24.15,7.97,8.22,25.75,11.0,8.25,8.23,0
82,0,2,5,1,2.84,0,3,high,29,24.25,7.54,7.79,24.25,11.5,10.0,8.42,0
83,1,2,2,1,2.75,2,2,normal,33,25.0,9.8,8.5,26.0,11.67,10.42,9.05,0
84,0,2,2,1,3.12,15,11,normal,30,27.67,10.52,3.63,27.5,12.25,8.25,4.95,1
85,1,2,4,1,3.6,0,5,normal,27,25.5,7.25,5.25,26.0,8.63,7.88,6.0,0
86,0,4,0,0,3.75,0,7,high,20,22.87,8.19,9.11,23.63,8.5,9.38,9.19,0
87,0,3,5,1,3.7,0,7,normal,31,24.4,7.3,6.8,25.25,9.25,8.25,7.21,0
88,0,4,3,1,2.4,0,3,normal,19,21.8,6.38,8.63,21.5,7.25,9.25,8.8,0
89,0,4,2,1,3.6,0,8,high,30,25.0,7.6,5.95,25.63,9.0,9.0,6.82,0
90,1,2,3,1,3.0,1,3,normal,28,24.1,9.2,9.2,24.75,11.75,10.75,9.64,0
91,0,1,4,1,3.95,3,11,high,18,25.2,8.2,7.7,25.5,9.5,6.25,7.29,0
92,0,1,2,1,3.43,0,4,normal,28,24.05,8.6,8.65,24.25,8.38,7.88,8.43,0
93,1,3,0,0,2.81,2,5,normal,27,25.2,8.85,8.25,25.5,11.0,8.0,8.18,0
94,1,2,2,1,3.0,1,4,normal,34,25.1,8.1,7.0,27.0,10.0,7.0,7.0,0
95,1,2,2,1,3.52,1,3,normal,28,23.9,8.2,8.6,25.75,12.5,10.0,9.0,0
96,1,4,2,1,3.2,7,4,normal,30,25.3,8.82,7.32,27.5,12.25,9.25,7.87,0
97,1,4,2,1,3.67,1,2,normal,13,24.4,8.05,7.85,26.0,9.0,6.5,7.46,0
98,1,2,0,0,3.6,6,5,normal,29,25.1,9.8,9.3,25.25,10.5,7.75,8.86,0
99,0,4,0,0,3.62,4,6,high,33,25.27,7.17,7.3,23.0,11.0,8.5,7.64,1
100,0,3,2,1,3.6,0,5,normal,31,24.2,8.05,7.45,25.0,9.75,9.75,8.11,0
101,0,1,5,1,3.9,0,6,normal,25,26.1,8.0,6.0,25.5,9.5,7.75,6.5,1
102,0,3,2,1,3.5,1,4,normal,28,25.4,8.07,6.67,26.0,8.13,6.13,6.51,0
103,0,1,4,1,3.7,0,6,high,17,25.05,8.37,8.22,24.5,9.63,6.88,7.83,0
104,1,2,5,1,3.2,2,7,high,16,25.3,8.45,6.7,26.13,10.96,9.96,7.63,1
105,0,1,5,1,3.2,0,3,normal,28,24.25,8.08,8.63,24.75,10.88,8.13,8.49,0
106,0,3,2,1,3.0,1,6,normal,28,24.0,9.3,9.85,24.88,12.5,10.25,9.96,0
107,0,3,2,1,3.3,7,14,high,20,22.83,8.45,9.13,23.0,10.5,11.5,9.8,0
108,0,3,2,1,3.8,1,5,high,31,24.75,8.2,7.25,26.13,11.25,9.63,7.93,0
109,0,1,3,1,3.5,0,8,normal,29,24.6,7.57,7.17,25.75,9.0,6.75,7.05,0
110,0,4,2,1,3.93,0,4,normal,29,23.55,6.8,7.05,24.0,8.5,9.0,7.61,0
111,1,2,3,1,3.78,0,2,normal,26,23.83,7.46,7.78,23.63,8.0,8.0,7.84,0
112,1,1,2,1,3.83,0,3,normal,33,25.2,9.7,9.2,25.75,10.34,6.84,8.52,0
113,1,3,2,1,3.3,0,1,normal,28,25.17,8.73,8.22,24.5,10.75,9.5,8.59,0
114,0,4,2,1,3.1,3,5,normal,29,26.4,7.6,5.7,26.75,12.0,8.0,6.36,0
115,0,4,0,0,3.35,0,5,normal,27,24.7,9.05,8.95,25.25,10.25,7.5,8.54,0
116,0,2,2,1,3.5,1,8,normal,33,25.65,8.71,8.16,25.88,9.46,4.84,7.21,0
117,1,1,3,1,3.75,2,9,normal,5,25.2,8.1,7.3,26.0,11.5,8.5,7.64,0
118,1,2,3,1,3.68,0,5,normal,28,25.8,8.27,6.57,26.25,10.75,8.25,7.05,0
119,1,2,5,1,3.3,7,6,normal,16,24.8,7.5,7.5,25.5,12.75,9.25,8.0,0
120,1,2,3,1,2.66,2,5,normal,28,25.85,8.8,6.95,26.25,10.25,8.0,7.25,0
121,1,3,3,1,3.36,0,4,normal,32,22.6,7.55,9.05,23.25,9.25,9.75,9.25,0
122,0,1,5,1,3.2,2,9,normal,13,24.3,6.9,7.2,24.5,11.0,9.0,7.71,0
123,0,2,0,0,3.0,5,4,normal,29,25.25,9.48,8.48,25.38,9.5,7.5,8.2,0
124,0,3,5,1,3.7,1,10,normal,29,23.75,7.08,7.43,24.5,8.75,8.0,7.6,0
125,1,2,3,1,2.3,4,8,normal,31,26.3,8.07,6.57,26.25,13.75,9.5,7.4,0
126,1,2,3,1,3.0,4,3,normal,30,24.75,8.05,8.6,23.42,8.5,5.84,7.81,1
127,1,1,4,1,4.0,0,4,normal,32,23.8,8.45,8.8,24.13,10.54,10.04,9.15,0
128,0,2,5,1,3.0,7,8,high,15,24.6,8.0,8.2,24.0,12.0,10.0,8.71,0
129,1,2,5,1,3.5,2,5,high,28,26.5,7.7,4.3,26.0,11.5,10.0,5.93,1
130,1,3,1,1,2.9,0,6,normal,29,25.1,8.25,7.15,26.5,11.0,8.5,7.54,0
131,1,4,0,0,3.0,1,6,high,25,24.9,8.92,8.02,27.25,10.25,7.0,7.73,0
132,1,3,0,0,3.5,1,8,normal,30,26.5,9.64,7.64,26.25,11.25,7.75,7.67,0
133,1,2,0,0,3.4,0,9,normal,25,25.9,8.65,7.05,25.5,9.75,7.5,7.18,0
134,1,3,0,0,3.9,4,6,normal,24,25.6,9.85,8.85,25.0,10.75,8.25,8.68,0
135,0,2,0,0,3.72,1,4,normal,29,25.34,8.16,8.03,27.0,10.25,7.5,7.88,0
136,0,3,2,1,3.5,0,2,normal,29,24.63,7.0,6.0,27.0,8.5,6.0,6.0,1
137,0,2,3,1,3.6,1,4,high,28,23.3,6.65,7.65,24.0,7.5,6.75,7.39,0
138,0,4,0,0,3.6,2,6,normal,30,25.77,9.78,8.32,26.25,9.75,6.75,7.87,0
139,0,4,2,1,3.8,4,9,normal,19,25.7,8.75,4.45,26.5,11.0,9.0,5.75,0
140,0,2,2,1,3.44,0,5,high,27,24.1,9.2,9.2,25.0,10.88,9.63,9.32,0
141,0,3,0,0,3.89,2,6,high,32,25.45,7.44,6.49,24.63,9.38,7.5,6.78,0
142,0,1,0,0,3.5,2,8,normal,25,26.6,9.1,7.0,26.25,8.5,5.0,6.43,0
143,0,3,0,0,3.61,2,13,high,11,24.75,9.9,9.4,25.38,10.0,8.0,9.0,0
144,0,4,2,1,3.43,2,5,normal,31,23.07,8.18,9.57,23.88,9.25,8.25,9.19,0
145,0,4,0,0,3.79,0,3,normal,30,25.46,8.78,7.83,25.0,10.42,8.42,7.99,0
146,0,4,0,0,3.4,6,5,normal,21,25.8,8.5,6.5,27.5,9.0,6.0,6.36,1
147,0,4,1,1,3.19,13,8,normal,30,26.0,9.05,6.65,26.88,10.67,8.79,7.26,0
148,1,2,0,0,3.1,7,5,normal,29,26.13,9.37,7.28,27.5,11.76,8.14,7.53,0
149,0,3,2,1,3.52,1,4,normal,19,23.9,7.6,7.7,25.75,9.25,7.5,7.64,0
150,0,3,0,0,3.2,0,2,normal,30,24.67,8.92,8.95,24.5,11.0,8.75,8.89,0
151,0,1,3,1,3.25,3,7,normal,21,24.35,7.62,6.87,24.75,10.0,10.25,7.83,0
152,0,2,5,1,3.0,7,4,normal,23,24.75,7.8,6.75,26.0,9.75,7.75,7.04,0
153,0,4,2,1,3.74,1,7,normal,33,24.1,7.8,7.4,25.0,9.75,9.5,8.0,0
154,0,4,0,0,3.3,0,5,normal,26,24.7,9.1,9.0,24.5,10.25,8.25,8.79,0
155,0,3,2,1,3.0,1,4,normal,29,24.8,8.73,8.03,25.25,10.0,8.5,8.17,0
156,0,3,2,1,2.8,1,8,normal,27,24.1,9.25,9.05,26.5,8.25,6.0,8.18,0
157,0,1,0,0,4.0,0,6,high,19,23.0,8.73,9.88,23.13,9.25,9.75,9.85,0
158,0,1,1,1,3.9,0,6,normal,29,24.5,8.25,7.95,25.0,9.25,7.75,7.89,0
159,0,1,3,1,4.0,0,6,normal,28,24.9,8.25,7.65,25.75,9.63,7.13,7.5,0
160,1,2,0,0,3.5,0,3,high,29,24.27,8.57,7.57,26.25,10.25,9.84,8.21,0
161,0,2,1,1,3.4,0,2,normal,31,23.55,8.2,9.2,24.0,8.88,7.5,8.71,0
162,1,2,0,0,3.25,15,7,normal,26,25.1,10.2,8.9,28.25,12.75,9.0,8.93,1
163,1,2,0,0,2.5,0,10,normal,29,27.3,10.4,7.1,28.5,11.0,6.5,6.93,1
164,1,2,3,1,3.3,0,11,normal,30,25.4,9.1,7.3,26.5,10.5,9.0,7.79,0
165,0,4,4,1,3.5,0,1,normal,35,24.4,8.2,7.7,25.0,10.25,9.5,8.21,0
166,0,2,0,0,2.5,0,6,normal,26,24.9,9.5,8.6,26.25,9.75,7.5,8.29,0
167,1,1,1,1,4.0,3,11,normal,25,26.9,9.6,6.7,25.5,10.29,8.79,7.3,1
168,1,3,0,0,2.4,4,8,normal,31,26.13,10.13,8.83,27.25,10.75,5.44,7.86,0
169,0,4,2,1,3.15,2,8,normal,30,24.7,8.35,7.65,25.5,11.0,9.5,8.18,0
170,0,1,1,1,3.75,0,4,high,31,24.4,7.95,7.65,26.25,10.5,8.0,7.75,0
171,0,4,0,0,3.0,0,6,normal,20,24.5,8.1,8.25,25.88,9.25,7.25,7.96,1
172,0,1,0,0,3.75,0,6,normal,27,26.0,9.4,8.0,25.5,9.75,6.75,7.64,0
173,1,3,2,1,3.5,3,10,high,11,26.1,8.27,6.72,26.63,10.0,6.0,6.51,0
174,0,2,0,0,3.3,2,5,normal,24,24.3,10.52,10.12,27.5,12.5,9.25,9.87,0
175,1,2,0,0,2.75,0,7,normal,30,26.0,9.6,7.8,27.5,12.0,8.0,7.86,0
176,1,2,0,0,2.5,1,11,high,12,24.75,7.8,6.85,26.63,8.42,6.29,6.69,0
177,1,2,0,0,2.75,2,4,normal,29,24.0,10.97,10.97,25.5,11.25,9.75,10.62,0
178,0,2,0,0,2.8,0,5,normal,31,25.95,9.15,7.09,27.95,10.84,7.18,7.11,0
179,0,4,0,0,3.4,1,9,high,27,24.7,8.7,8.05,24.13,8.25,8.0,8.04,0
180,1,1,2,1,3.8,1,6,normal,27,24.5,9.05,8.05,24.25,9.0,10.0,8.61,0
181,1,1,1,1,3.6,1,6,high,22,23.2,5.5,6.3,24.0,7.25,7.25,6.57,0
182,1,4,0,0,2.75,5,6,normal,29,24.5,8.9,8.5,25.25,9.75,8.25,8.43,0
183,1,4,0,0,3.1,3,7,normal,28,24.3,9.05,8.75,25.5,10.25,8.75,8.75,0
184,0,4,2,1,2.5,3,6,normal,28,24.4,8.4,7.8,24.5,9.5,9.5,8.29,0
185,1,2,3,1,3.25,1,5,normal,32,25.5,8.8,7.45,26.13,9.5,7.0,7.32,0
186,0,1,0,0,3.5,4,3,normal,21,25.75,9.88,7.93,25.75,11.13,9.88,8.49,0
187,0,3,2,1,2.77,2,5,normal,27,24.75,8.5,7.75,26.63,9.75,7.13,7.57,0
188,0,1,1,1,3.7,2,7,normal,27,25.35,9.25,8.3,27.0,9.25,5.25,7.43,1
189,0,2,0,0,3.3,5,5,normal,31,23.7,8.93,9.63,25.0,9.0,7.0,8.88,0
190,1,2,2,1,2.8,0,10,normal,22,25.7,8.8,7.1,26.25,10.5,8.25,7.43,0
191,0,2,0,0,3.7,1,5,high,29,24.95,8.35,6.6,25.0,8.75,9.75,7.5,0
192,1,2,3,1,3.2,3,12,normal,27,25.15,7.1,5.7,23.71,6.5,7.42,6.19,0
193,1,2,3,1,3.24,6,5,high,0,26.8,8.45,5.95,25.5,8.25,6.0,5.96,1
194,1,3,0,0,2.75,5,14,high,21,25.8,8.23,6.43,26.5,12.75,10.25,7.52,0
195,0,4,0,0,3.4,1,6,normal,33,26.7,11.0,8.5,26.5,10.0,7.0,8.07,0
196,0,3,2,1,3.3,0,4,normal,20,23.65,7.82,7.97,24.75,8.25,8.0,7.98,0
197,1,3,0,0,2.8,2,5,normal,29,24.3,9.58,8.98,25.5,9.13,8.38,8.81,0
198,0,2,2,1,3.32,0,9,normal,28,25.0,9.15,8.35,27.0,13.5,10.0,8.82,0
199,0,4,2,1,3.7,6,11,high,28,25.2,9.57,7.57,26.25,13.0,12.75,9.05,0
200,1,4,0,0,3.0,6,4,normal,30,24.87,9.05,7.98,27.5,9.75,6.75,7.63,1
201,1,2,0,0,3.2,0,3,normal,35,25.85,10.1,7.95,27.5,13.5,10.75,8.75,0
202,1,3,0,0,2.0,2,9,normal,22,26.5,9.25,6.4,26.0,11.0,6.5,6.43,1
203,1,4,2,1,2.98,14,6,normal,31,24.9,8.5,7.8,26.0,10.75,8.25,7.93,0
204,0,4,1,1,3.0,3,4,normal,32,25.5,10.95,9.45,26.5,12.5,10.0,9.61,0
205,1,4,2,1,2.5,1,5,normal,29,25.05,9.92,8.87,26.63,9.92,7.29,8.42,1
206,1,2,2,1,3.2,0,5,normal,25,25.13,8.42,7.73,25.63,9.25,6.5,7.38,0
207,0,2,2,1,3.6,1,8,normal,28,25.13,8.8,7.67,28.5,14.0,9.5,8.19,0
208,0,2,5,1,3.2,1,8,high,26,24.1,7.78,7.72,24.15,9.79,9.54,8.24,0
209,0,3,2,1,3.56,4,11,high,22,26.58,10.55,7.97,27.0,12.69,9.69,8.46,0
210,0,2,0,0,3.0,1,9,normal,28,24.2,8.97,9.17,24.0,9.25,8.25,8.9,0
211,0,4,3,1,3.1,0,5,normal,27,24.2,8.1,8.1,24.0,8.0,7.5,7.93,0
212,1,3,2,1,3.3,1,3,normal,27,25.7,8.55,7.05,27.0,10.25,6.75,6.96,0
213,0,2,2,1,3.55,1,3,normal,23,23.73,7.88,8.05,23.75,7.13,7.63,7.93,0
214,1,2,0,0,2.9,0,8,normal,33,24.25,9.0,8.9,25.75,9.25,7.13,8.39,0
215,0,1,2,1,4.0,1,7,high,24,23.35,6.95,7.7,22.75,9.75,10.75,8.57,0
216,1,1,0,0,3.75,2,6,normal,25,24.2,8.92,8.12,26.25,9.25,8.5,8.23,1
217,1,1,4,1,3.42,0,8,normal,26,24.09,8.14,8.75,25.5,13.27,10.02,9.11,0
218,1,4,0,0,2.5,6,4,normal,30,25.7,10.1,8.3,26.75,11.25,8.75,8.43,0
219,1,3,0,0,3.0,2,9,normal,17,26.15,9.5,7.35,27.25,11.75,8.5,7.68,0
220,1,2,2,1,3.0,2,7,normal,28,25.25,9.3,8.3,25.63,10.75,8.5,8.36,0
221,1,3,2,1,3.0,2,5,normal,31,24.9,8.37,7.57,26.75,11.75,8.75,7.91,0
222,1,2,2,1,3.23,0,9,normal,30,25.5,8.48,7.58,23.5,11.0,10.0,8.27,1
223,1,2,2,1,2.4,3,13,normal,24,26.1,9.62,7.82,26.75,11.75,8.25,7.94,0
224,0,1,2,1,3.2,2,8,normal,22,25.36,10.03,8.29,28.25,12.96,9.67,8.68,1
225,1,3,0,0,3.0,5,7,normal,29,29.1,12.02,7.02,30.25,15.0,8.5,7.44,1
226,1,4,2,1,3.35,2,7,high,24,25.4,7.83,6.73,25.5,10.75,8.5,7.24,0
227,1,2,0,0,2.8,4,8,normal,26,25.9,10.2,8.2,26.0,10.0,8.25,8.21,1
228,0,3,0,0,3.25,1,6,high,29,23.2,9.3,10.9,23.5,8.0,6.5,9.64,0
229,0,2,0,0,3.6,0,4,normal,18,22.3,8.2,9.9,24.5,8.0,7.5,9.21,0
230,1,2,1,1,2.8,6,2,normal,18,24.4,7.2,7.4,26.0,10.5,7.0,7.29,0
231,0,2,3,1,3.5,0,6,normal,30,26.3,7.35,5.35,26.0,9.13,6.38,5.64,0
232,0,1,4,1,3.5,0,3,normal,27,25.15,8.0,7.2,25.88,10.13,7.38,7.25,1
233,0,2,0,0,3.4,0,4,normal,25,24.8,9.25,9.25,24.75,9.75,7.0,8.61,0
234,0,2,0,0,3.3,6,15,high,18,24.6,7.8,8.2,26.5,9.0,4.0,7.0,0
235,0,3,0,0,3.4,0,7,normal,26,24.8,7.8,7.6,26.0,9.5,6.0,7.14,0
236,1,1,3,1,2.8,1,4,normal,32,25.5,8.87,7.57,25.0,11.5,10.0,8.26,0
237,1,3,0,0,3.72,2,3,normal,32,24.9,8.47,7.77,25.0,10.0,8.5,7.98,0
238,1,1,2,1,3.4,0,10,normal,23,23.7,7.65,8.15,22.0,5.25,6.75,7.75,0
239,0,2,2,1,3.3,3,4,normal,27,24.15,8.58,8.43,25.5,9.34,7.84,8.26,0
240,1,2,0,0,2.7,0,5,normal,25,24.2,10.4,10.2,24.0,9.5,9.5,10.0,0
241,1,2,3,1,3.4,0,4,normal,30,24.9,9.2,8.7,24.88,10.75,8.88,8.75,0
242,1,2,0,0,3.15,2,5,normal,30,25.2,10.4,9.6,26.5,10.5,7.0,8.86,0
243,0,1,0,0,3.5,0,10,normal,30,24.2,8.27,7.67,26.25,10.92,9.67,8.24,0
244,0,1,0,0,2.5,8,10,normal,29,25.7,8.2,6.6,23.5,6.0,6.25,6.5,1
245,0,1,2,1,3.25,0,2,normal,34,25.35,9.4,8.55,25.25,11.0,8.5,8.54,0
246,1,3,0,0,3.15,10,3,normal,30,25.35,9.73,8.38,25.88,10.25,8.38,8.38,0
247,0,3,2,1,3.34,0,2,normal,30,24.0,7.45,7.55,24.0,8.0,7.75,7.61,0
248,1,3,0,0,3.35,7,11,high,16,26.75,9.42,6.77,24.5,10.5,9.5,7.55,1
249,0,1,2,1,3.0,1,9,normal,20,23.6,8.63,9.03,24.5,10.0,9.5,9.17,0
250,0,3,2,1,3.5,1,2,normal,35,24.45,8.25,7.8,25.0,9.75,8.75,8.07,0
251,1,2,2,1,2.6,0,5,normal,31,24.38,9.2,8.97,26.0,9.88,7.5,8.55,0
252,1,2,5,1,2.5,3,3,normal,32,23.35,7.75,8.4,25.0,10.88,9.88,8.82,0
